File,Line,Cluster,Domain,PrimaryClass,MSTestCandidate,Windows,ProductAssembly,SourceOnly
"desktop-pet/SelfTestRunner.cs","4206","RunPersonaRuntimeCatalogCheck","Daily/Weather/Bubble","RESOURCE PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4334","RunSolarTermAttachmentCheck","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4362","RunPersonaLyricAnimationCheck","Art/Animation","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4374","RunSmallTalkAnimationProtectionCheck","Art/Animation","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4393","RunSolarPreservePlumbingCheck","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4435","RunDisplayTopologyRuntimeCheck","Display","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4573","RunStickySnapshotSeparationCheck","Sticky Host","PROTOCOL BEHAVIOR","pure subset yes; platform references must separate","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4643","RunNativePlacementCheck","Sticky Placement","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4697","RunV11PreferredCheck","Sticky Placement","MIGRATION","codec/policy yes; filesystem/repository probes retain Windows runner","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4760","RunTemporaryRehomeCheck","Sticky Placement","PURE BEHAVIOR","pure subset yes; platform references must separate","math no; present runner Windows","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4803","RunDockPlanMailboxCheck","Sticky Dock","PROTOCOL BEHAVIOR","pure subset yes; platform references must separate","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4908","RunNativeDisplayAbiCheck","Display","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","4923","RunDockTopologyReprojectCheck","Sticky Dock","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","5053","RunDockZOrderCheck","Sticky Dock","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","5135","RunWindowShellChecks","Startup/Shell","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","5352","RunStickyHostedLifecycleCheck","Sticky Host","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","6055","RunStickyBackupCleanupCheck","Sticky/Settings Persistence","MIGRATION","codec/policy yes; filesystem/repository probes retain Windows runner","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","6074","RunDockChecks","Sticky Dock","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","6819","Run","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/SelfTestRunner.cs","6919","RunDisplayResolverConsistencyCheck","Display","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","16","RunWeatherApiProbe","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","112","RunStickyInputProbe","Input","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","203","RunStickyWinFormsPumpProbe","Input","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","276","RunStickyTransparencyOverlapProbe","Sticky Editor/UI","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","768","RunStartupProbe","Startup/Shell","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","1015","RunDailyBriefingProbe","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","1103","RunAlmanacProbe","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","1454","RunSolarTermProbe","Daily/Weather/Bubble","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
"desktop-pet/PennySelfTests.cs","1558","RunDisplayTopologyProbe","Display","WINDOWS RUNTIME PROBE","pure subrules only; keep actual Windows/resource probe","present runner Windows; source/resource probes not proof of UI behavior","currently yes","no; cluster may mix string assertions with behavior"
