FieldName,DeclaredIn,Category,ReadsBy,WritesBy,Thread,Lifetime,CandidateOwner,Notes
"ThinkingRow","desktop-pet/PetForm.cs:21","B Animation/hover","desktop-pet/PetAnimationRuntime.cs:389 QueueStartupInteractionPreload","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"ReviewRow","desktop-pet/PetForm.cs:22","B Animation/hover","","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"NotificationRow","desktop-pet/PetForm.cs:23","B Animation/hover","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetReminderWindowsCoordinator.cs:185 ShowReminderDialog; desktop-pet/PetReminderWindowsCoordinator.cs:256 RequestReminderAttentionAnimation; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_animationTimer","desktop-pet/PetForm.cs:30","B Animation/hover","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing animation owner + hover lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_reminderTimer","desktop-pet/PetForm.cs:31","K Bubble/daily/reminder","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing PetReminderCoordinator","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_persistenceRetryTimer","desktop-pet/PetForm.cs:32","I Persistence","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:12 PersistenceSaveFailed; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:28 RetryUnsavedPersistence","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","Pet persistence lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_reminderCoordinator","desktop-pet/PetForm.cs:33","K Bubble/daily/reminder","desktop-pet/PetReminderWindowsCoordinator.cs:256 RequestReminderAttentionAnimation; desktop-pet/PetReminderWindowsCoordinator.cs:289 BeginReminderAttentionAnimation","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing PetReminderCoordinator","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_bubbleCoordinator","desktop-pet/PetForm.cs:35","K Bubble/daily/reminder","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetAnimationRuntime.cs:276 StartGuitarPokeAnimation; desktop-pet/PetAnimationRuntime.cs:286 StartHoverPokeAnimation; desktop-pet/PetAnimationRuntime.cs:309 StartNotificationPokeAnimation; desktop-pet/PetAnimationRuntime.cs:324 StartOrdinaryPokeAnimation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetBubbleCoordinator.cs:300 ShowBubble; desktop-pet/PetBubbleCoordinator.cs:308 ShowDueReminderBubble; desktop-pet/PetBubbleCoordinator.cs:314 ShowNextPendingBubble; desktop-pet/PetBubbleCoordinator.cs:319 ShowOrUpdatePreAlert; desktop-pet/PetBubbleCoordinator.cs:344 ShowOrUpdateHoverBubble; desktop-pet/PetBubbleCoordinator.cs:381 HideHoverBubble; desktop-pet/PetBubbleCoordinator.cs:386 CloseCurrentBubbleWithoutRestoringHover; desktop-pet/PetBubbleCoordinator.cs:410 RepositionCurrentBubble; desktop-pet/PetReminderWindowsCoordinator.cs:149 ReminderTick; desktop-pet/PetReminderWindowsCoordinator.cs:233 TriggerReminder; desktop-pet/PetMenuActions.cs:104 ApplyScale; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:172 PetWindowLayerChanged","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing feature owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_dailyContentCoordinator","desktop-pet/PetForm.cs:36","K Bubble/daily/reminder","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:219 HandlePetPokedAsync","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing feature owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_weatherSource","desktop-pet/PetForm.cs:37","K Bubble/daily/reminder","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetMenuActions.cs:71 ShowDailyContentSettingsDialog","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing feature owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_smallTalkCoordinator","desktop-pet/PetForm.cs:38","K Bubble/daily/reminder","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:219 HandlePetPokedAsync","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:219 HandlePetPokedAsync","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing feature owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_daypartCheckInCoordinator","desktop-pet/PetForm.cs:39","K Bubble/daily/reminder","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetAnimationRuntime.cs:219 HandlePetPokedAsync","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing feature owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_pokeBurstTracker","desktop-pet/PetForm.cs:40","K Bubble/daily/reminder","desktop-pet/PetAnimationRuntime.cs:219 HandlePetPokedAsync","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing feature owners","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_lastReminderBannerSecond","desktop-pet/PetForm.cs:42","K Bubble/daily/reminder","desktop-pet/PetReminderWindowsCoordinator.cs:149 ReminderTick","desktop-pet/PetReminderWindowsCoordinator.cs:149 ReminderTick","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing PetReminderCoordinator","Forwarding property, not duplicate storage"
"_petContextMenu","desktop-pet/PetForm.cs:45","A Window shell","desktop-pet/PetForm.cs:195 PetForm","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_menu","desktop-pet/PetForm.cs:46","A Window shell","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:85 QueueStickyWindowAction; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetAnimationRuntime.cs:137 ChooseRow; desktop-pet/PetBubbleCoordinator.cs:319 ShowOrUpdatePreAlert; desktop-pet/PetBubbleCoordinator.cs:344 ShowOrUpdateHoverBubble; desktop-pet/PetBubbleCoordinator.cs:397 RestoreAmbientBubble; desktop-pet/PetMenuActions.cs:226 BeginExitSequence","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","PetForm shell","Forwarding property, not duplicate storage"
"_statusItem","desktop-pet/PetForm.cs:47","A Window shell","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","PetForm shell","Forwarding property, not duplicate storage"
"_setReminderItem","desktop-pet/PetForm.cs:49","K Bubble/daily/reminder","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing PetReminderCoordinator","Forwarding property, not duplicate storage"
"_cancelItem","desktop-pet/PetForm.cs:51","A Window shell","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","PetForm shell","Forwarding property, not duplicate storage"
"_manageNotesItem","desktop-pet/PetForm.cs:53","A Window shell","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","PetForm shell","Forwarding property, not duplicate storage"
"_scaleItem","desktop-pet/PetForm.cs:55","A Window shell","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","PetForm shell","Forwarding property, not duplicate storage"
"_startupItem","desktop-pet/PetForm.cs:57","C Startup","desktop-pet/PetMenuActions.cs:209 StartupItemClick","desktop-pet/PetMenuActions.cs:209 StartupItemClick","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","StartupRuntime","Forwarding property, not duplicate storage"
"_keyboardItem","desktop-pet/PetForm.cs:59","J Keyboard/input","desktop-pet/PetMenuActions.cs:141 KeyboardItemClick; desktop-pet/PetMenuActions.cs:191 RefreshKeyboardMenuText","desktop-pet/PetMenuActions.cs:141 KeyboardItemClick; desktop-pet/PetMenuActions.cs:191 RefreshKeyboardMenuText","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","existing keyboard policy + Pet input lifecycle","Forwarding property, not duplicate storage"
"_silentItem","desktop-pet/PetForm.cs:61","A Window shell","desktop-pet/PetMenuActions.cs:20 RefreshMenuText; desktop-pet/PetMenuActions.cs:184 SilentItemClick","desktop-pet/PetMenuActions.cs:20 RefreshMenuText","Pet STA (async completion marshaled); referenced owner may execute elsewhere","proxy, no independent storage","PetForm shell","Forwarding property, not duplicate storage"
"_trayIcon","desktop-pet/PetForm.cs:63","A Window shell","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_appIcon","desktop-pet/PetForm.cs:64","A Window shell","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_reminders","desktop-pet/PetForm.cs:65","K Bubble/daily/reminder","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:979 StartHostedSticky; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2187 PrepareHostedDockRestoreSessions; desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2482 TryRestoreHostedDockComponentLegacyFallback; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetBubbleCoordinator.cs:344 ShowOrUpdateHoverBubble; desktop-pet/PetBubbleCoordinator.cs:397 RestoreAmbientBubble; desktop-pet/PetReminderWindowsCoordinator.cs:12 RestoreReminders; desktop-pet/PetReminderWindowsCoordinator.cs:38 SaveReminders; desktop-pet/PetReminderWindowsCoordinator.cs:45 UpdateAllStickyNoteReminderBanners; desktop-pet/PetReminderWindowsCoordinator.cs:66 ReconcileNoteReminders; desktop-pet/PetReminderWindowsCoordinator.cs:87 EditReminder; desktop-pet/PetReminderWindowsCoordinator.cs:133 CancelReminderForNote; desktop-pet/PetReminderWindowsCoordinator.cs:149 ReminderTick; desktop-pet/PetReminderWindowsCoordinator.cs:185 ShowReminderDialog; desktop-pet/PetReminderWindowsCoordinator.cs:212 CancelReminder; desktop-pet/PetReminderWindowsCoordinator.cs:223 CancelAllReminders; desktop-pet/PetReminderWindowsCoordinator.cs:233 TriggerReminder; desktop-pet/PetReminderWindowsCoordinator.cs:318 PreviewHostedReminderFontSize; desktop-pet/PetReminderWindowsCoordinator.cs:335 RefreshLinkedNoteReminderState; desktop-pet/PetMenuActions.cs:20 RefreshMenuText","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetReminderWindowsCoordinator.cs:12 RestoreReminders; desktop-pet/PetReminderWindowsCoordinator.cs:66 ReconcileNoteReminders; desktop-pet/PetReminderWindowsCoordinator.cs:87 EditReminder; desktop-pet/PetReminderWindowsCoordinator.cs:133 CancelReminderForNote; desktop-pet/PetReminderWindowsCoordinator.cs:185 ShowReminderDialog; desktop-pet/PetReminderWindowsCoordinator.cs:212 CancelReminder; desktop-pet/PetReminderWindowsCoordinator.cs:223 CancelAllReminders; desktop-pet/PetReminderWindowsCoordinator.cs:233 TriggerReminder","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing PetReminderCoordinator","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_settings","desktop-pet/PetForm.cs:66","A Window shell","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetForm.cs:774 RestoreLocation; desktop-pet/PetForm.cs:799 SaveLocation; desktop-pet/PetAnimationRuntime.cs:341 StartPokeEasterEgg; desktop-pet/PetDisplayRuntime.cs:61 FindLegacyPetSurface; desktop-pet/PetDisplayRuntime.cs:74 UpdatePetCompatibilityLocation; desktop-pet/PetDisplayRuntime.cs:87 CommitPetPreferredFromFacts; desktop-pet/PetDisplayRuntime.cs:238 TryPlacePetLegacy; desktop-pet/PetDisplayRuntime.cs:317 InitializePetDisplayPlacement; desktop-pet/PetDisplayRuntime.cs:388 ReconcilePetDisplayPlacement; desktop-pet/PetBubbleCoordinator.cs:300 ShowBubble; desktop-pet/PetBubbleCoordinator.cs:319 ShowOrUpdatePreAlert; desktop-pet/PetBubbleCoordinator.cs:344 ShowOrUpdateHoverBubble; desktop-pet/PetBubbleCoordinator.cs:397 RestoreAmbientBubble; desktop-pet/PetReminderWindowsCoordinator.cs:12 RestoreReminders; desktop-pet/PetReminderWindowsCoordinator.cs:38 SaveReminders; desktop-pet/PetReminderWindowsCoordinator.cs:233 TriggerReminder; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:12 PersistenceSaveFailed; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:28 RetryUnsavedPersistence; desktop-pet/Features/StickyNotes/PetPersistenceCoordinator.cs:44 FlushPersistenceBeforeExit; desktop-pet/PetMenuActions.cs:20 RefreshMenuText; desktop-pet/PetMenuActions.cs:60 ShowScaleDialog; desktop-pet/PetMenuActions.cs:71 ShowDailyContentSettingsDialog; desktop-pet/PetMenuActions.cs:104 ApplyScale; desktop-pet/PetMenuActions.cs:141 KeyboardItemClick; desktop-pet/PetMenuActions.cs:184 SilentItemClick; desktop-pet/PetMenuActions.cs:191 RefreshKeyboardMenuText; desktop-pet/PetMenuActions.cs:209 StartupItemClick; desktop-pet/PetMenuActions.cs:226 BeginExitSequence; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker; desktop-pet/PetStartupCoordinator.cs:26 DeferredStartupTick; desktop-pet/PetDailyInteractionRuntime.cs:10 InitializeDailyLedger; desktop-pet/PetDailyInteractionRuntime.cs:37 RefreshLedgerOpeningMarker; desktop-pet/PetDailyInteractionRuntime.cs:45 PersistDailyLedger","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:799 SaveLocation; desktop-pet/PetDisplayRuntime.cs:74 UpdatePetCompatibilityLocation; desktop-pet/PetDisplayRuntime.cs:87 CommitPetPreferredFromFacts; desktop-pet/PetReminderWindowsCoordinator.cs:12 RestoreReminders; desktop-pet/PetReminderWindowsCoordinator.cs:38 SaveReminders; desktop-pet/PetMenuActions.cs:104 ApplyScale; desktop-pet/PetMenuActions.cs:141 KeyboardItemClick; desktop-pet/PetMenuActions.cs:184 SilentItemClick; desktop-pet/PetMenuActions.cs:209 StartupItemClick; desktop-pet/PetDailyInteractionRuntime.cs:45 PersistDailyLedger","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_keyboard","desktop-pet/PetForm.cs:67","J Keyboard/input","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetMenuActions.cs:141 KeyboardItemClick; desktop-pet/PetMenuActions.cs:191 RefreshKeyboardMenuText; desktop-pet/PetStartupCoordinator.cs:26 DeferredStartupTick","desktop-pet/PetForm.cs:195 PetForm","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_keyOverlay","desktop-pet/PetForm.cs:68","J Keyboard/input","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetAnimationRuntime.cs:152 PetMouseDown; desktop-pet/PetAnimationRuntime.cs:169 PetMouseMove; desktop-pet/PetMenuActions.cs:104 ApplyScale; desktop-pet/PetMenuActions.cs:141 KeyboardItemClick; desktop-pet/PetMenuActions.cs:226 BeginExitSequence; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:42 ProcessPendingKeyboardActivity; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:172 PetWindowLayerChanged","desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetMenuActions.cs:104 ApplyScale","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","existing keyboard policy + Pet input lifecycle","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
"_windowLayers","desktop-pet/PetForm.cs:69","A Window shell","desktop-pet/Features/StickyNotes/PetStickyWindowCoordinator.cs:2888 ShowStickyNotesManager; desktop-pet/PetForm.cs:195 PetForm; desktop-pet/PetForm.cs:701 OnFormClosed; desktop-pet/PetReminderWindowsCoordinator.cs:87 EditReminder; desktop-pet/PetReminderWindowsCoordinator.cs:185 ShowReminderDialog; desktop-pet/PetMenuActions.cs:60 ShowScaleDialog; desktop-pet/PetMenuActions.cs:71 ShowDailyContentSettingsDialog; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:94 PrivacyCheckedOverlayWorker; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:162 ShouldSuppressOwnApplicationInput; desktop-pet/Features/KeyboardOverlay/PetKeyboardOverlayCoordinator.cs:172 PetWindowLayerChanged","","Pet STA (async completion marshaled); referenced owner may execute elsewhere","PetForm lifetime; collection entries removed/reset per feature","PetForm shell","Read list includes writes; lexical write/mutator index, inspect referenced method for indirect effects / finally. Constants and event declarations retained."
